id,artist,name,link,algo_outlier,outlier_class
TRBSMBH128F14A3AA2,Bobbie Gentry,Interlude 3,,1,
TRQAMEH128F14A3AAC,Bobbie Gentry,Interlude 6,,1,
TRMYWHV12903CA362F,Bobby Fuller Four,I Fought The Law,,1,
TRPGFKM128F933E49E,Bobby Womack,Love The Time Is Now - Original,,1,
TRHHEOK128F14694F0,Body Count,Interview (Explicit),,1,
TRQZBVK128F14AA592,Booka Shade,16 MM,,1,
TRLYUXM128F14AA69C,Booka Shade,Memento (Chloé Mix),,1,
TRYDMHQ128F429DB48,Boom Bip,The Use Of Unacceptable Colors In Nature,,1,
TRKPYAQ12903C95324,Boom Bip & Doseone,I Get It,,1,
TRLXDBE12903CF107C,Boys Noize,Kontact Me,,1,
TRMGQCO128E078EF8E,Boyz II Men,Silent Night,,1,
TRCPBEW12903CAC434,Boyzone,'Til The Sun Goes Down,,1,
TRSERZV128E07932BD,Boyzone,I'm Learning,,1,
TRSFEBL128F4294979,Bran Van 3000,Oblonging,,1,
TRIUOPL128F931B6DF,Bread,Look At Me,,1,
TRCPLTL128F4222D90,Bread,Belonging (LP Version),,1,
TRSVUNV12903CE985C,Brenda Holloway,Every Little Bit Hurts,,1,
TRXUEDE128E078C70B,Brian Wilson,Rio Grande (Remastered Album Version),,1,
TRIIBEF128F4266052,Brownstone,True To Me,,1,
TRNBRGP128F4285627,Bruce Hornsby,Piano Intro/I Loves You Porgy/Nocturne,,1,
TRBHHCN128F1460CA1,Bugge Wesseltoft,Existence,,1,
TRAWHIV128F428AB04,Buju Banton,Excerpt of a Speech by Marcus Mosiah Garvey,,1,
TRJCJYW128E078F93A,Burning Spear,Shout It Out,,1,
TRSTSOD128F9304EDF,Burning Spear,Old marcus garvey,,1,
TRDPELI128F92C1E63,Calvin Harris,Vault Character,,1,
TRNWRMI128F425C6AF,Cameo,Stand Up,,1,
TRANHGL128F145A6A6,Cameo,Don't Be Lonely,,1,
TRXPIDB128F935E402,Carleen Anderson,Soul Stream Intro,,1,
TRDQINZ128F9341C72,Carly Simon,James (Album Version),,1,
TRNJGHM128F423B53E,Carnivore,Jack Daniel's And Pizza (Album Version),,1,
TRGKYFE128E0791D62,Carpenters,Eventide,,1,
TRRRETJ128E0791D59,Carpenters,Aurora,,1,
TRYPPVT128F145C164,Carter USM,Suppose You Gave A Funeral And Nobody Came,,1,
TRWYDDJ128F424EF43,Carter USM,Suicide Isn't Painless,,1,
TRTHFYT128F424B351,Carter USM,As You Are Leaving The Building,,1,
TRBLTBM128F422B4CA,Casiotone For The Painfully Alone,Etiquette,,1,
TREJLTE128F147B50B,Catie Curtis,You Can Always Be Gone (Album Version),,1,
TRALLWV12903CA45A3,Celia Cruz,Africa,,1,
TRTJXAD12903CC8E2E,Chairmen Of The Board,Give Me Just A Little More Time,,1,
TRQSGUK128F1461598,Charlie Hunter,Sunday Morning,,1,
TROYBTC128F92F53E0,Cheap Trick,World's Greatest Lover,,1,
TREHKHB128F933DDB0,Chic,Backstage - Live,,1,
TRDIUHP128F933DDAA,Chic,Bernard - Live,,1,
TRMUUER128F4263723,Chris Botti,Interlude,,1,
TRGMDDM128F92FE84C,Chris Clark,Early Moss,,1,
TRAEOMT128F92FE852,Chris Clark,Tyre,,1,
TREHPNB128F92FE87C,Chris Clark,The Sun Too Slow,,1,
TRFQYCN128F931C7E6,Chris Squire,In The Bleak Midwinter,,1,
TRGTCQO128F9324805,Christopher Cross,The Christmas Song,,1,
TRSFBRV128F42433C0,Chuck E. Weiss,Luigi's Starlite Lounge,,1,
TROWGDE128F423357F,Clare Teal,Blues In The Night,,1,
TRFSOEF128F92FD17C,Coco Electrik,Love Machine,,1,
TRCDAIU128F92C77DF,Colbie Caillat,Capri,,1,
TROAKNN128F92F23A5,Condemned 84,Intro,,1,
TRHKRYE128F9314E2F,Cowboy Junkies,Witches,,1,
TRWOUPZ128F9329A5E,Crosby_ Stills & Nash,Lady Of The Island  (Digitally Remastered LP Version),,1,
TRCTKPJ128F148B57B,Crosby_ Stills & Nash,Lady Of The Island  [Remastered LP Version],,1,
TRTYKZF12903CBD359,Culture,Raw Truth A Cappella,,1,
TRBHQUT12903CC5570,Cutting Crew,Binkies Return,,1,
TRPLBKV128F4260E12,Cyndi Lauper,Kindred Spirit,,1,
TRUXFQM12903CA6D40,DJ Babu,Preach B-Dub,,1,
TREELQF128F92F50C1,DJ Yoda,Fiddy,,1,
TRAMMRT128F9337C0E,Dabrye,Game Over (featuring Jay Dee And Phat Kat),,1,
TRUXQKQ128EF35C81B,Daedelus,Hiraethus,,1,
TRYXYCC128F933B4BD,Damien Dempsey,The Twang Man,,1,
TRYBGSA128F4274FE2,Daniel Johnston,An Angel Cry,,1,
TRPHNYW128F932D5C2,Dar Williams,Are You Out There Intro,,1,
TRIFAJN128F42636C4,Darden Smith,Dream Intro,,1,
TRINSKW128F424B583,Dave Swarbrick,Shepherd's Hey,,1,
TRYGMAV128F42204A1,"David ""Honeyboy"" Edwards",I Met Peetie Wheatstraw In '39,,1,
TRSPOYY128F4237789,David Bromberg,Lower Left Hand Corner Of The Night,,1,
TRLYIEQ128F92CA46E,David Cassidy,Massacre At Park Bench (Dialogue),,1,
TREFVNY128F1491CE4,David Crosby,Games (Previously Unreleased Demo Version),,1,
TRVZMIG128F1491CE2,David Crosby,Guinnevere (Previously Unreleased Alternate Mix),,1,
TRJVQIU128F92FC7F9,David Francey,The Waking Hour Introduction (Live),,1,
TRGRIUQ128F930B422,David Toop,Virtual pet 1,,1,
TRCSEPJ128F4290F76,David Zinman,Wiegenlied - Mäßig langsam,,1,
TROGGTT128F424F0AD,Dawn Landes,Honeybee,,1,
TRZMETU128F4254EDE,Dayglo Abortions,Death Race 2000,,1,
TROVJRC128F92FFC09,Dayglo Abortions,Spoken Word,,1,
TRBSFPD12903CF29D1,Deadmau5,Bot,,1,
TRVCHYN128F9330184,Deadmau5,Sometimes I Fail,,1,
TRRRVGT128F42917A1,Deep Dish,Intro - Morning Wood,,1,
TRFAXNK128F93411C0,Deep Dish,Sushi,,1,
TRBWHHF128F9326991,Deerhoof,Tuning a Stray,,1,
TRPNRUM128F93271CF,Deerhoof,Gold On Black (live),,1,
TRCWTKK12903CEA104,Del Shannon,The Swiss Maid,,1,
TRGEPAK128E07847E6,Derek & The Dominos,Thorn Tree In The Garden,,1,
TRFOOGO128F92F8AD9,Des'ree,The quality of mercy is not strained (Portia - The Merchant of Venice),,1,
TRUJCSP128F932E4CD,Devanic,The Machine,,1,
TRYBTTC12903CD661D,Devendra Banhart,I Feel Just Like a Child,,1,
TRDIHEZ128F423EE86,Devendra Banhart,This Beard Is For Siobhan,,1,
TREEESH128F4264263,Diana King,My love,,1,
TRPWPUV128F92EB0BC,Dido,The Day Before The Day,,1,
TRCFDXP128F1463885,Dodgy,What Have I Done Wrong?,,1,
TRUUBFF128F9314C0D,Donna The Buffalo,Arrows Pointing Sideways,,1,
TRVNIAB128F933B45F,Dougie MacLean,Leis A Lurighan,,1,
TRVRTUT128F92E7F52,Eagles Of Death Metal,Midnight Creeper,,1,
TRKMCEQ128E0795096,Eddi Reader,Shall I Be Mother,,1,
TRJVMQF12903CB5F29,Eftos,Nothing is (not),,1,
TRKSAGR12903D09F8E,Eight Frozen Modules,Shinny Transcribed Feelings,,1,
TRCQFHH12903CBCD15,Elektricni orgazam,Elektricni orgazam,,1,
TRPIZJQ12903CFDE84,Elektricni orgazam,Zagreb,,1,
TRCHKBT128F425C985,Enrico Rava,Avarando,,1,
TRJHGHA128F92F37EF,Eric Carmen,You Need Some Lovin',,1,
TRDSORN128F931E5D2,Eric Roberson,She,,1,
TRWHJQL128F426A121,Erik Truffaz,Betty,,1,
TRGEOYT128F14AEB52,Erykah Badu,Next Lifetime (Interlude),,1,
TRXALQL12903CE9247,Essie Jain,Midnight Starship,,1,
TRUJSHJ128F428F45A,Evgeny Kissin,Berceuse_ Op. 57,,1,
TRLLCOX128F9316373,Fall Out,Religious carnage / Sucks,,1,
TRZWTGQ128F42AD9C5,Felix Da Housecat,Its Your Move,,1,
TRBGLZG128F9316945,Fire Engines,(clip),,1,
TRYCEQE128F92E85A6,First Choice,Love & Happiness,,1,
TRFZWTU128F92E859F,First Choice,"My Imagination"" Mix 1",,1,
TRLDDGK128F4241A8A,Fontella Bass,The Light of My World,,1,
TRKDUZR12903CF8214,For The Fallen Dreams,The Call Out,,1,
TRFMHCZ128F427D60B,Fourplay,Song For Somalia (Album Version),,1,
TRPQNBM128F42B29EE,Fragile State,Stolen Generation,,1,
TRSMJZE12903CE3EF5,Frankie Valli,To Give [The Reason I Live],,1,
TRXBSTF12903D13C10,Fred Eaglesmith,Hot Dog Intro,,1,
TRNSMMV128F424CA95,Freddie Hubbard,Gibraltar,,1,
TRWBZON128F42377C4,Freddie Hubbard,Postlude (LP Version),,1,
TRADOXA128F92D7F8D,Fridge,Dji,,1,
TRYWEEW128F92D03E1,Fun 'Da' Mental,Human Waves,,1,
TRZBYKI128F92D03AD,Fun 'Da' Mental,Global Tales,,1,
TRVNZZW128F933CA4F,GRANDADDY,At My Post,,1,
TRGGDDU128F93273BB,Gaelic Storm,"An Irish Party in Third Class (includes ""John Ryan's Polka"" and ""Blarney Pilgrim"")",,1,
TROMCUK128E07832BF,Galliano,57th Minute Of The 23rd Hour,,1,
TRLYPXD12903D013D7,Gambafreaks ft. Nicole,Never Say Never,,1,
TRPCZJJ128F934E8DA,Gary U.S. Bonds,Shes A Woman,,1,
TRRGUEQ128F93135B3,Gene Chandler,Lonely Island - Original,,1,
TRKMYMC12903CBC2F1,George McCrae,Breathless,,1,
TRYURQV12903CB4B4B,George McCrae,Breathless,,1,
TRWUNQR128E0787302,Gerald Levert,Do I Speak For The World (Outro) (album version),,1,
TRNHIKC128F92F2838,Gillian Welch,Leaving Train,,1,
TRPIHHH128C71966DD,Gladys Knight & The Pips,You Need Love Like I Do (Don't You?),,1,
TRSRNYU128F92FFAF4,Glen Campbell,By The Time I Get To Phoenix,,1,
TRETASZ128F42585E3,Glenn Branca,Fifth Movement (In the late 20th Century_ the Impossible Becomes Possible) (Short Excerpt),,1,
TRALMPX128F931C411,Gloria Gaynor,Broken Wings,,1,
TRSXIPT128F934C8B9,Goo Goo Dolls,Two Days in February,,1,
TRFCDCB128C7196426,Grace Jones,Operattack,,1,
TRWOJNQ128F9301D03,Grandmaster Flash,The Message (Re-Recorded / Remastered),,1,
TRNASNI12903CAD4A7,Gregory Isaacs,Lawdie Miss Claudie,,1,
TRXSJKX12903CAD48D,Gregory Isaacs,Bounty Hunter,,1,
TRYKSWD12903CAD4A4,Gregory Isaacs,Past Time Joke,,1,
TRDGCOK128E0791417,Grover Washington Jr.,Winelight (LP Version),,1,
TRSEXCN12903CEA6E2,Hanne Hukkelberg,The Pirate,,1,
TRQASAV128F426664D,Harold Melvin & The Blue Notes,You Know How To Make Me Feel So Good,,1,
TRDWTVC128F93351F7,Harry Manx,Intro / Mark Nevue,,1,
TRMWXLA128EF34375C,Haste The Day,Eremus,,1,
TRRAPLO128EF343737,Haste The Day,Eye Of The Needle,,1,
TRWJODC128F934462E,Heinrich Ignaz Franz von Biber,Intrada,,1,
TRPCNOH12903CB8996,High Contrast,Return of Forever (Landslide Remix),,1,
TRULHFP128F4298A34,Honeyroot,A Change Is Gonna Come,,1,
TRTSVXI128F42B00AC,Hope Of The States,Hum,,1,
TRSYDFM128F9341F72,Horace Andy,Sky Larking,,1,
TRMZUHQ128F92F3345,Humble Pie,Hallelujah I Love Her So,,1,
TRAHMLV128F4282571,Husker Du,Too Far Down,,1,
TRMIKWF128F92F6E8C,IIIRD Tyme Out,Back home we have a little music barn...,,1,
TRSYGJD128EF3444E0,Ian McCulloch,Start Again,,1,
TRKUGRP128EF344501,Ian McCulloch,Lover_ Lover_ Lover [Indian Dawn Remix],,1,
TRTYVLW128F930C87C,Ike Turner,All the Blues All the Time,,1,
TRBJGRV12903CA6037,Incognito,N.O.T.,,1,
TRTOJXL128F42AD980,Inner City,Big Fun (Kenny Hawkes Remake),,1,
TRCFXZV128F4273209,Iris Dement,After You're Gone,,1,
TREOVLH128EF3563D6,Irma Thomas,Cry On,,1,
TRORSYB128F92F6F09,Irma Thomas,Thinking Of You,,1,
TRMONMG128F4291380,J.J. Cale,Shady Grove,,1,
TRAPNMD128F933FF45,Jack Bruce,Statues,,1,
TRUABNP128F427D0A7,James Carter,Tenderly,,1,
TRZJVFI128F422305F,James Hunter,Strange But True,,1,
TRFFNCW128F4264468,James Taylor Quartet,Ted's Asleep,,1,
TRCEKVC12903CDEAC3,Jane Weaver,Noctilumina,,1,
TRWTTEB128F931DD37,Jeb Loy Nichols,Interlude One,,1,
TREWUBD128F145B4FE,Jeff Beck,Ol' Man River,,1,
TRLAJRU12903CD5E1F,Jefferson Starship,Jerry Springer Drinking Story,,1,
TRYOYAN12903CD5E55,Jefferson Starship,Coming Back To Me,,1,
TRTHIFJ128F92CEEEB,Jem,You Will Make It (Album Version),,1,
TRLOSFZ128F1497D80,Jens Lekman,Rocky Dennis In Heaven,,1,
TRMHBPA12903CBA1B4,Jermaine Jackson,I Dream_ I Dream,,1,
TREJTFX128F14957D3,Jerry Jeff Walker,Like Some Song You Can't Unlearn,,1,
TRPEIVD128F4275F9F,Jerry Jeff Walker,Janet Says (LP Version),,1,
TRRZYWN12903CFAC32,Jesus Jones,International Bright Young Thing (BBC In Concert),,1,
TRPYVWQ128F4230A6C,Jesus Jones,The Devil You Know (Satellite Over Tehran Mix),,1,
TRFGZVJ128E078E02D,Jesus Jones,Zeroes And Ones,,1,
TRWKKYX128F421AA44,Jim Lauderdale,I'd Follow You Anywhere,,1,
TROJWRU12903CA8981,Jim Reeves,Track_1_24 Where Does A Broken Heart Go?,,1,
TRSPMWR128F428D700,Jim Reeves,Blue Canadian Rockies,,1,
TRQSNOV128F931C81B,Jimmy Cliff,Bongo Man (Album Version),,1,
TRRIAVB128E078D0FD,Jimmy Giuffre,The Song Is You (LP Version),,1,
TRIXPHT128F1477A3B,Jimmy Ruffin,More Than A Heart Can Stand,,1,
TRPPLAA128F92C511D,Jimpster,Interlude,,1,
TRPDCJA128F92CA6DC,Jimpster,Dangly Panther,,1,
TRUIOGW128F422F00B,Joan Osborne,What Do Bad Girls Get? (Album Version),,1,
TROHWRP128F92F1DB5,Joe Budden,Killa BH (Skit),,1,
TRDTQLN128F92FD24A,Joey Negro,Universe Theme,,1,
TRZBJWY128F930F9DB,Johannes Linstead,Echoes of the Forest II,,1,
TRTNVHC128E078D8F0,John Fahey,Medley: Road_ I Come (LP Version),,1,
TRJWWDG128F92CD539,John Foxx,Revolving Birdsong,,1,
TRESLNN128F1459C3F,John Hartford,I Am A Man Of Constant Sorrow,,1,
TRAHHSV128F42374E3,John Stevens,I Only Have Eyes For You (Album Version),,1,
TRVRAPA128F423C07A,John Wesley Harding,A Cozy Promotional Chat: Viv Stanshall Free-Associates with John Wesley,,1,
TRLUVNJ12903CA450C,Johnny Dowd,Opus III - Coda,,1,
TRAITGE12903CA22D5,Johnny Dowd,You're Carrying a Coffin,,1,
TRCPVAF128F42626C2,Jolie Holland,I Wanna Die,,1,
TRUADEH128F428E7DD,Jona Lewie,Be Stiff,,1,
TRQJDYA128F14A59AF,Jonatha Brooke,No Net Below (Album Version),,1,
TRNSLVB128F92D2C67,Jonatha Brooke,Coney Island Intro,,1,
TRXTQVJ128F429FB8C,Josh White,I Don't Intend To Die In Egyptland,,1,
TRGMBNR128F425E9C9,Joss Stone,Change (Vinnie Jones Intro),,1,
TRGVMKY128F4267AAA,Journey,She Makes Me (Feel Alright),,1,
TRKHMFB128F931B343,Jr. Walker & The All Stars,Money (That's What I Want),,1,
TRIDQYQ128F423C4A0,Judy Collins,Innisfree (LP Version),,1,
TRMWHAJ128F92D03DA,Julie Collings,Hypnotised,,1,
TRPDNPS128F1467BC6,Julie Driscoll_ Brian Auger & The Trinity,Looking In The Eye Of The World,,1,
TRQQDUJ128F4231922,June Tabor,I will put my ship in order,,1,
TRFDRAY128F4249D34,KC & The Sunshine Band,Don't Run,,1,
TRQJGWH128F930A0B0,KC And The Sunshine Band,I Will Love You Tomorrow,,1,
TRGMCWC12903CA08BB,Kap Bambino,Batcaves [Jackson Remix],,1,
TRTJERG128F4267D2E,Karla Bonoff,The Letter,,1,
TRTSIKB128F4297590,Kasey Chambers,The Hard Way,,1,
TRCLLGM128F14A5185,Kate Wolf,The Lilac & The Apple (2006 Remastered LP Version),,1,
TRGYNTP128F92E67D5,Kenny Werner,Jacob,,1,
TRBIUTT128F1455E32,Kim Richey,Reel Me In,,1,
TRWJXCG12903CB024A,Kinesis,We are dreaming,,1,
TRGXJTL128F92FBF51,King Britt,Unceremonious,,1,
TRONYBM128F9326A31,Kleenex,Umamm,,1,
TRLYYUC12903CDEC79,Koko Taylor,Up in flames,,1,
TRTTRTC128F426E434,Kris Kristofferson,Sugar Man,,1,
TRHAEWL128F423EAFA,Kristin Hersh,Lurch,,1,
TRJQMNI12903CE08A0,Krokus,Firestar,,1,
TRCPSUF128F4215729,La Buena Vida,TBC,,1,
TRVAQFB128F4295A99,Lamont Dozier,What Chew Doin' (LP Version),,1,
TRAUDWP128F9300D50,Langhorne Slim,Hanshaw Shuffle (Drunken Horse),,1,
TREQUKI12903CEA730,Laughin'Nose,Intoro,,1,
TRRETPD128F4265577,Laura Nyro,Map To The Treasure,,1,
TRUMXRU128F4271B7B,Laura Nyro,Ain't Nothing Like The Real Thing,,1,
TRAUGWA128F4276E31,Laura Nyro,The Bells,,1,
TRSLVJJ128E0786C44,Laurie Anderson,"The Mysterious ""J"" [Live Album Version]",,1,
TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,,1,
TRHTIBF12903CBDBAF,Lee Coombs,Intro,,1,
TRLROFR128F9320819,Lee Greenwood,Hearts Aren't Made To Break (They're Made To Love),,1,
TRJUVZG128F4288418,Leela James,Good Time [Antony Reale & Funky Junction Remix],,1,
TRRQMVS128F425AD50,Lene Marlin,I Know,,1,
TROYRBN128F9311A5E,Les Garçons Bouchers,Chariot,,1,
TRSTHHQ128F42A4A8C,Les Wampas,C'Est Juste Une Petite Voix,,1,
TRYKNID128F42405E6,Lesley Gore,We Went So High,,1,
TRDZFTX128F92F902E,Levon Helm,Move Along Train,,1,
TRFZODC128F931076C,Liam Lynch,Hit Me Again,,1,
TRKKOOD128E0791304,Lighthouse Family,The Way You Are,,1,
TRBIMZB128F93263E8,Lionel Richie,Stuck On You,,1,
TRUSXWX128F145FB1E,Lionel Richie,Still,,1,
TRYHPFZ128F932ED7A,Lisa Loeb,H.A.P.P.Y,,1,
TRSZRQE128F9312BF3,Lisa Loeb,Days Were Different,,1,
TROIHCA128F145D0AC,Little Anthony & The Imperials,Gonna Fix You Good (Every Time You're Bad),,1,
TROHVNG128F934433F,Little Feat,Rocket In My Pocket,,1,
TRGAGLI128F14A5694,Little Richard,In The Name (Version 3_ Take 1; false start),,1,
TREGQER128F427CDE5,Living In A Box,Mistaken Identity,,1,
TRHQQBC12903CCC2A6,London Elektricity,Round the Corner (Landslide Dub),,1,
TRUUACB128F92F25F0,Lonesome River Band,(Listen To) The Old Man,,1,
TRBKFIW128F1456EDD,Lords Of The New Church,Dreams & Desires,,1,
TRZPPVT128F4273D7F,Lou Rawls,Spring Can Really Hang You Up The Most,,1,
TRIIFEF128F14598C3,Lou Rawls,Willow Weep For Me,,1,
TRBXSDN128F4240D9D,Lucero,O Tu O Nada (En Vivo Auditorio Nacional),,1,
TRRMFFZ12903CAD544,Luciano,Steal Us feat. Ragnam Poyser,,1,
TRABXUY12903CAD53E,Luciano,Born In The Famine feat. Sizzla & Jesse Jendah,,1,
TRNVIGB128E078DAD8,Lucie Silvas,Breathe In,,1,
TRBZYMI128F92E2846,Luka Bloom,I'm On Your Side,,1,
TREPXER128F92FE8CA,Luka Bloom,An Irishman In Chinatown (LP Version),,1,
TRRURCD128F92FB03C,Luke Doucet,The Anxious Ballerina,,1,
TRKODNE128F427313E,Luther Vandross,Don't You Know That?,,1,
TRJAAVG128F42A6523,Lutricia Mcneal,"Poof"" You're Gone!",,1,
TRAYBRB12903D07305,MARC COHN,Already Home (LP Version),,1,
TRELGUJ128F424C3A5,MNEMIC,The audio injection,,1,
TRXEKOE128F427FDB8,MNEMIC,The Audio Injection,,1,
TREUMKQ128F4284500,Macy Gray,I Try,,1,
TRBMNVJ128F1455AE8,Mano Negra,Song For Jodie (Instrumental),,1,
TRBMOKC128F92ECAB7,Marc-André Hamelin,Barcarolle_ Op.65 No. 6 (Live),,1,
TRROVZV128F92F5D89,Marisela,Adios Amor (Verion Banda),,1,
TROBDZI128F1456087,Mark Knopfler,The Rocks & The Water,,1,
TRLIYDD128F932E4F4,Mark Kozelek,Moorestown,,1,
TRYLSDP12903CE16FD,Mary Black,My Donald,,1,
TRCRXRP128EF35F04F,Matt Monro,Si Tu Te Vas,,1,
TRRHHZY128F42A81F6,Mecano,Une Histoire A Trois (El Uno_ El Dos_ El Tres),,1,
TRGMDAZ128F149DAB9,Michael Brecker,Introduction To Naked Soul,,1,
TROUBTU128F9318B90,Michael Hurley,The Time is Right,,1,
TRHROMU128F42953BD,Michelle Gayle,Fly Away (Interlude),,1,
TRYWYJR128F9316D00,Mike Batt,The Dead Of The Night (Album Version),,1,
TRXVFFP128F426D1DE,Mikey Dread,Radix Revenge (Dub / Instrumental Reggae Music),,1,
TRAMEBP12903CD7EEA,Mink DeVille,Heaven Stood Still,,1,
TRCMIUM128F425A7AC,Mink DeVille,Mazurka,,1,
TRLWKHU12903CCC5B8,Mistabishi,Hidden,,1,
TREUKVB128F14897EE,Misty's Big Adventure,Crumpled Up Guy,,1,
TRFBUWW128F4270931,Mitchell Akiyama,Night Grows Less,,1,
TROMNVX12903CA6A19,Moby Grape,Introduction (Monterey International Pop Festival '67),,1,
TRQFKYW128F427E143,Moe Tucker,I'm Waiting For The Man,,1,
TRJSLBG128F428C1C5,Monrose,Push Up On Me,,1,
TRUBICS128F930D50F,Moonspell,Interludium/Incantatum Oequinoctum (Re-Recorded),,1,
TRVLKOA128F4291E15,Mr. Mister,The Border,,1,
TRWNPJL128F425E1DD,Mutemath,Collapse [Live],,1,
TRUWXSG128F1482B97,Natalie Merchant,Effigy (LP Version),,1,
TRKKLOB128F930DF99,Natty King,Pray Today,,1,
TRCQVGQ128F933DE50,Neil Sedaka,Little Song,,1,
TRTFPOX128F146D5CE,Neil Sedaka,The Queen Of 1964,,1,
TREOMJI128F92E16BA,Neutral Milk Hotel,Avery Island / April 1st,,1,
TRWMKOL12903CF060A,Nevermore,Forever,,1,
TRQQHVW12903CF05DC,Nevermore,Ophidian,,1,
TRBLYGW12903CF24DE,Nevermore,Noumenon (re-mixed & re-mastered),,1,
TRDSUTK128F4243EFF,New Fast Automatic Daffodils,How Much Longer Must We Tolerate Mass Culture,,1,
TRHUFOD128F146716B,Nitty Gritty Dirt Band,It Came From The 50's (Blast From The Past),,1,
TRHMKTT128F1467327,Nitty Gritty Dirt Band,Amazing Grace,,1,
